"Representation","Model","Condition","Accuracy","Kappa","Baseline"
"BoW","Naive Bayes","Clean",0.365731462925852,0.190623162280483,0.302605210420842
"BoW","Naive Bayes","Noisy",0.326653306613226,0.148466326217073,0.302605210420842
"BoW","SVM","Clean",0.454909819639279,0.258968885297634,0.302605210420842
"BoW","SVM","Noisy",0.430861723446894,0.227493124810915,0.302605210420842
"BoW","Multinom LR","Clean",0.468937875751503,0.275422672390883,0.302605210420842
"BoW","Multinom LR","Noisy",0.444889779559118,0.242275317470542,0.302605210420842
"TF-IDF","Naive Bayes","Clean",0.32565130260521,0.135389043649302,0.302605210420842
"TF-IDF","Naive Bayes","Noisy",0.264529058116232,0.0457797299902563,0.302605210420842
"TF-IDF","SVM","Clean",0.465931863727455,0.275737321447779,0.302605210420842
"TF-IDF","SVM","Noisy",0.433867735470942,0.22969421099223,0.302605210420842
"TF-IDF","Multinom LR","Clean",0.455911823647295,0.260306843930005,0.302605210420842
"TF-IDF","Multinom LR","Noisy",0.445891783567134,0.244858027934673,0.302605210420842
