"Precision","Recall","F1","Class","Support","Representation","Model","Condition"
0.238013698630137,0.798850574712644,0.366754617414248,"Irrelevant",174,"BoW","Naive Bayes","Clean"
0.604026845637584,0.298013245033113,0.399113082039911,"Negative",302,"BoW","Naive Bayes","Clean"
0.461538461538462,0.267206477732794,0.338461538461538,"Neutral",247,"BoW","Naive Bayes","Clean"
0.573770491803279,0.254545454545455,0.35264483627204,"Positive",275,"BoW","Naive Bayes","Clean"
0.22239263803681,0.833333333333333,0.351089588377724,"Irrelevant",174,"BoW","Naive Bayes","Noisy"
0.57258064516129,0.235099337748344,0.333333333333333,"Negative",302,"BoW","Naive Bayes","Noisy"
0.452380952380952,0.230769230769231,0.305630026809651,"Neutral",247,"BoW","Naive Bayes","Noisy"
0.552083333333333,0.192727272727273,0.285714285714286,"Positive",275,"BoW","Naive Bayes","Noisy"
0.416666666666667,0.258620689655172,0.319148936170213,"Irrelevant",174,"BoW","SVM","Clean"
0.518633540372671,0.552980132450331,0.53525641025641,"Negative",302,"BoW","SVM","Clean"
0.381703470031546,0.489878542510121,0.429078014184397,"Neutral",247,"BoW","SVM","Clean"
0.48207171314741,0.44,0.460076045627376,"Positive",275,"BoW","SVM","Clean"
0.405660377358491,0.247126436781609,0.307142857142857,"Irrelevant",174,"BoW","SVM","Noisy"
0.490196078431373,0.496688741721854,0.493421052631579,"Negative",302,"BoW","SVM","Noisy"
0.365714285714286,0.518218623481781,0.428810720268007,"Neutral",247,"BoW","SVM","Noisy"
0.461864406779661,0.396363636363636,0.426614481409002,"Positive",275,"BoW","SVM","Noisy"
0.440366972477064,0.275862068965517,0.339222614840989,"Irrelevant",174,"BoW","Multinom LR","Clean"
0.5141065830721,0.543046357615894,0.528180354267311,"Negative",302,"BoW","Multinom LR","Clean"
0.462962962962963,0.404858299595142,0.431965442764579,"Neutral",247,"BoW","Multinom LR","Clean"
0.440677966101695,0.567272727272727,0.496025437201908,"Positive",275,"BoW","Multinom LR","Clean"
0.428571428571429,0.258620689655172,0.32258064516129,"Irrelevant",174,"BoW","Multinom LR","Noisy"
0.476190476190476,0.496688741721854,0.486223662884927,"Negative",302,"BoW","Multinom LR","Noisy"
0.46046511627907,0.40080971659919,0.428571428571429,"Neutral",247,"BoW","Multinom LR","Noisy"
0.413223140495868,0.545454545454545,0.470219435736677,"Positive",275,"BoW","Multinom LR","Noisy"
0.232342007434944,0.718390804597701,0.351123595505618,"Irrelevant",174,"TF-IDF","Naive Bayes","Clean"
0.486842105263158,0.245033112582781,0.325991189427313,"Negative",302,"TF-IDF","Naive Bayes","Clean"
0.411111111111111,0.299595141700405,0.346604215456674,"Neutral",247,"TF-IDF","Naive Bayes","Clean"
0.40625,0.189090909090909,0.258064516129032,"Positive",275,"TF-IDF","Naive Bayes","Clean"
0.181425485961123,0.482758620689655,0.263736263736264,"Irrelevant",174,"TF-IDF","Naive Bayes","Noisy"
0.391812865497076,0.221854304635762,0.283298097251586,"Negative",302,"TF-IDF","Naive Bayes","Noisy"
0.26056338028169,0.149797570850202,0.190231362467866,"Neutral",247,"TF-IDF","Naive Bayes","Noisy"
0.342342342342342,0.276363636363636,0.305835010060362,"Positive",275,"TF-IDF","Naive Bayes","Noisy"
0.417322834645669,0.304597701149425,0.352159468438538,"Irrelevant",174,"TF-IDF","SVM","Clean"
0.540625,0.572847682119205,0.556270096463023,"Negative",302,"TF-IDF","SVM","Clean"
0.385852090032154,0.48582995951417,0.43010752688172,"Neutral",247,"TF-IDF","SVM","Clean"
0.495833333333333,0.432727272727273,0.462135922330097,"Positive",275,"TF-IDF","SVM","Clean"
0.365671641791045,0.281609195402299,0.318181818181818,"Irrelevant",174,"TF-IDF","SVM","Noisy"
0.494047619047619,0.549668874172185,0.520376175548589,"Negative",302,"TF-IDF","SVM","Noisy"
0.35981308411215,0.311740890688259,0.334056399132321,"Neutral",247,"TF-IDF","SVM","Noisy"
0.449044585987261,0.512727272727273,0.478777589134126,"Positive",275,"TF-IDF","SVM","Noisy"
0.446428571428571,0.28735632183908,0.34965034965035,"Irrelevant",174,"TF-IDF","Multinom LR","Clean"
0.515923566878981,0.536423841059603,0.525974025974026,"Negative",302,"TF-IDF","Multinom LR","Clean"
0.391156462585034,0.465587044534413,0.425138632162662,"Neutral",247,"TF-IDF","Multinom LR","Clean"
0.460431654676259,0.465454545454545,0.462929475587703,"Positive",275,"TF-IDF","Multinom LR","Clean"
0.422018348623853,0.264367816091954,0.325088339222615,"Irrelevant",174,"TF-IDF","Multinom LR","Noisy"
0.492401215805471,0.536423841059603,0.513470681458003,"Negative",302,"TF-IDF","Multinom LR","Noisy"
0.37890625,0.392712550607287,0.385685884691849,"Neutral",247,"TF-IDF","Multinom LR","Noisy"
0.460526315789474,0.509090909090909,0.483592400690846,"Positive",275,"TF-IDF","Multinom LR","Noisy"
